x/c,y/c
1.0,0.0005993
0.99,0.002969
0.98,0.0053335
0.97,0.007686800000000001
0.96,0.010023200000000001
0.94,0.0146239
0.92,0.0191156
0.9,0.0235025
0.88,0.0277891
0.86,0.031974
0.84,0.0360536
0.82,0.0400245
0.8,0.043883599999999995
0.78,0.0476281
0.76,0.0512565
0.74,0.0547675
0.72,0.0581599
0.7,0.061432900000000006
0.68,0.0645843
0.66,0.0676046
0.64,0.0704822
0.62,0.07320549999999999
0.6,0.07576329999999999
0.58,0.07814510000000001
0.56,0.080348
0.54,0.0823712
0.52,0.0842145
0.5,0.08587719999999999
0.48,0.08735720000000001
0.46,0.08864269999999999
0.44,0.0897175
0.42,0.09056570000000001
0.4,0.0911712
0.38,0.0915212
0.36,0.0916266
0.34,0.0915079
0.32,0.0911857
0.3,0.0906804
0.28,0.09000159999999999
0.26,0.089084
0.24,0.0878308
0.22,0.0861433
0.2,0.0839202
0.18,0.08106870000000001
0.16,0.07757069999999999
0.14,0.073436
0.12,0.0686204
0.1,0.0629981
0.08,0.0564308
0.06,0.0487571
0.05,0.0442753
0.04,0.0391283
0.03,0.0330215
0.02,0.0253735
0.012,0.0178581
0.008,0.013734999999999999
0.004,0.008923799999999999
0.002,0.0058025
0.001,0.0037270999999999997
0.0005,0.002339
0.0,0.0
0.0005,-0.0046700000000000005
0.001,-0.0059418000000000006
0.002,-0.0078113
0.004,-0.0105126
0.008,-0.0142862
0.012,-0.0169733
0.02,-0.0202723
0.03,-0.0226056
0.04,-0.024521099999999997
0.05,-0.0260452
0.06,-0.027127699999999998
0.08,-0.028459500000000002
0.1,-0.0293786
0.12,-0.0299633
0.14,-0.030240399999999997
0.16,-0.0302546
0.18,-0.030049000000000003
0.2,-0.0296656
0.22,-0.0291445
0.24,-0.0285181
0.26,-0.027816399999999998
0.28,-0.0270696
0.3,-0.026307900000000002
0.32,-0.0255565
0.34,-0.0248176
0.36,-0.024087
0.38,-0.0233606
0.4,-0.0226341
0.42,-0.0219042
0.44,-0.0211708
0.46,-0.0204353
0.48,-0.0196986
0.5,-0.0189619
0.52,-0.018226199999999998
0.54,-0.0174914
0.56,-0.0167572
0.58,-0.0160232
0.6,-0.015289299999999999
0.62,-0.014555100000000001
0.64,-0.013820699999999998
0.66,-0.0130862
0.68,-0.0123515
0.7,-0.0116169
0.72,-0.010882300000000001
0.74,-0.0101478
0.76,-0.0094133
0.78,-0.0086788
0.8,-0.0079443
0.82,-0.0072098
0.84,-0.006475300000000001
0.86,-0.005740800000000001
0.88,-0.0050063
0.9,-0.0042718
0.92,-0.0035372999999999997
0.94,-0.0028028
0.96,-0.0020683000000000003
0.97,-0.0017011
0.98,-0.0013339
0.99,-0.0009666
1.0,-0.0005993
