Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e212-il-100000
Airfoil,e212-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,59.9168
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-e212-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.4094,0.10194,0.09692,-0.0316,1.0000,0.1230
-8.750,-0.4162,0.09914,0.09420,-0.0325,1.0000,0.1274
-8.500,-0.4771,0.09793,0.09329,-0.0375,1.0000,0.1303
-8.250,-0.4285,0.09267,0.08789,-0.0326,1.0000,0.1334
-8.000,-0.4235,0.09017,0.08542,-0.0310,1.0000,0.1370
-7.750,-0.4352,0.08766,0.08301,-0.0306,1.0000,0.1410
-7.500,-0.4956,0.08437,0.08000,-0.0376,1.0000,0.1445
-7.250,-0.5309,0.06010,0.05547,-0.0522,1.0000,0.0721
-7.000,-0.5455,0.04815,0.04273,-0.0596,1.0000,0.0608
-6.750,-0.5349,0.04320,0.03745,-0.0609,1.0000,0.0587
-6.500,-0.5183,0.03788,0.03155,-0.0629,1.0000,0.0566
-6.250,-0.4967,0.03420,0.02732,-0.0642,1.0000,0.0573
-6.000,-0.4725,0.03124,0.02383,-0.0651,1.0000,0.0587
-5.750,-0.4463,0.02858,0.02067,-0.0656,1.0000,0.0595
-5.500,-0.4192,0.02639,0.01806,-0.0658,1.0000,0.0608
-5.250,-0.3925,0.02463,0.01594,-0.0657,1.0000,0.0629
-5.000,-0.3673,0.02285,0.01424,-0.0657,1.0000,0.0674
-4.750,-0.3415,0.02170,0.01297,-0.0655,1.0000,0.0764
-4.500,-0.3146,0.02034,0.01177,-0.0658,1.0000,0.0939
-4.250,-0.2837,0.01870,0.01052,-0.0672,1.0000,0.1628
-4.000,-0.2574,0.01831,0.01029,-0.0679,1.0000,0.2327
-3.750,-0.2326,0.01807,0.01026,-0.0680,1.0000,0.2865
-3.500,-0.2082,0.01786,0.01015,-0.0679,1.0000,0.3317
-3.250,-0.1845,0.01775,0.01012,-0.0676,1.0000,0.3742
-3.000,-0.1612,0.01773,0.01014,-0.0672,1.0000,0.4158
-2.750,-0.1392,0.01775,0.01029,-0.0665,1.0000,0.4526
-2.500,-0.1172,0.01782,0.01043,-0.0658,1.0000,0.4896
-2.250,-0.0961,0.01794,0.01060,-0.0650,1.0000,0.5250
-2.000,-0.0758,0.01809,0.01084,-0.0640,1.0000,0.5583
-1.750,-0.0561,0.01828,0.01113,-0.0630,1.0000,0.5917
-1.500,-0.0183,0.01870,0.01159,-0.0652,0.9933,0.6332
-1.250,0.0224,0.01911,0.01208,-0.0677,0.9849,0.6737
-1.000,0.0595,0.01934,0.01239,-0.0694,0.9750,0.7123
-0.750,0.0941,0.01952,0.01262,-0.0706,0.9648,0.7502
-0.500,0.1273,0.01963,0.01279,-0.0713,0.9546,0.7885
-0.250,0.1609,0.01968,0.01289,-0.0720,0.9451,0.8297
0.000,0.1893,0.01954,0.01282,-0.0714,0.9345,0.8743
0.250,0.2148,0.01918,0.01256,-0.0704,0.9225,0.9383
0.500,0.2671,0.01900,0.01230,-0.0760,0.9115,1.0000
0.750,0.3242,0.01895,0.01212,-0.0821,0.9049,1.0000
1.000,0.3656,0.01891,0.01200,-0.0851,0.8928,1.0000
1.250,0.4076,0.01883,0.01187,-0.0880,0.8814,1.0000
1.500,0.4618,0.01843,0.01145,-0.0925,0.8750,1.0000
1.750,0.5016,0.01820,0.01121,-0.0945,0.8628,1.0000
2.000,0.5434,0.01788,0.01089,-0.0967,0.8512,1.0000
2.250,0.5906,0.01742,0.01047,-0.0996,0.8413,1.0000
2.500,0.6393,0.01684,0.00993,-0.1026,0.8315,1.0000
2.750,0.6791,0.01647,0.00960,-0.1040,0.8174,1.0000
3.000,0.7193,0.01609,0.00925,-0.1055,0.8021,1.0000
3.250,0.7575,0.01578,0.00898,-0.1065,0.7850,1.0000
3.500,0.7887,0.01568,0.00890,-0.1064,0.7636,1.0000
3.750,0.8238,0.01551,0.00872,-0.1069,0.7425,1.0000
4.000,0.8530,0.01553,0.00876,-0.1065,0.7180,1.0000
4.250,0.8834,0.01556,0.00876,-0.1062,0.6931,1.0000
4.500,0.9114,0.01569,0.00883,-0.1055,0.6661,1.0000
4.750,0.9369,0.01589,0.00902,-0.1045,0.6371,1.0000
5.000,0.9617,0.01615,0.00922,-0.1034,0.6070,1.0000
5.250,0.9857,0.01646,0.00946,-0.1021,0.5760,1.0000
5.500,1.0084,0.01683,0.00977,-0.1007,0.5436,1.0000
5.750,1.0297,0.01725,0.01014,-0.0992,0.5094,1.0000
6.000,1.0503,0.01773,0.01054,-0.0975,0.4744,1.0000
6.250,1.0702,0.01829,0.01095,-0.0958,0.4389,1.0000
6.500,1.0883,0.01889,0.01151,-0.0939,0.4003,1.0000
6.750,1.1057,0.01961,0.01208,-0.0919,0.3623,1.0000
7.000,1.1219,0.02040,0.01276,-0.0898,0.3227,1.0000
7.250,1.1373,0.02135,0.01356,-0.0877,0.2840,1.0000
7.500,1.1513,0.02242,0.01443,-0.0855,0.2465,1.0000
7.750,1.1641,0.02351,0.01541,-0.0832,0.2086,1.0000
8.000,1.1747,0.02465,0.01633,-0.0808,0.1734,1.0000
8.250,1.1859,0.02591,0.01748,-0.0785,0.1395,1.0000
8.500,1.1945,0.02754,0.01896,-0.0758,0.1090,1.0000
8.750,1.1996,0.02968,0.02092,-0.0726,0.0828,1.0000
9.000,1.2071,0.03189,0.02300,-0.0697,0.0682,1.0000
9.250,1.2212,0.03399,0.02514,-0.0677,0.0591,1.0000
9.500,1.2397,0.03641,0.02753,-0.0668,0.0533,1.0000
9.750,1.2628,0.03873,0.03007,-0.0660,0.0495,1.0000
10.000,1.2859,0.04127,0.03272,-0.0656,0.0469,1.0000
10.250,1.3135,0.04497,0.03648,-0.0661,0.0449,1.0000
10.500,1.3310,0.04903,0.04088,-0.0651,0.0441,1.0000
10.750,1.3361,0.05193,0.04422,-0.0624,0.0435,1.0000
11.000,1.3356,0.05493,0.04765,-0.0593,0.0429,1.0000
11.250,1.3291,0.05792,0.05105,-0.0558,0.0425,1.0000
11.500,1.3186,0.06111,0.05459,-0.0523,0.0421,1.0000
11.750,1.3050,0.06461,0.05841,-0.0492,0.0420,1.0000
12.000,1.2886,0.06846,0.06258,-0.0468,0.0419,1.0000
12.250,1.2700,0.07277,0.06717,-0.0452,0.0421,1.0000
12.500,1.2494,0.07758,0.07225,-0.0446,0.0422,1.0000
12.750,1.2274,0.08297,0.07789,-0.0451,0.0425,1.0000
13.000,1.2043,0.08902,0.08416,-0.0468,0.0428,1.0000
13.250,1.1808,0.09575,0.09105,-0.0496,0.0432,1.0000
13.500,1.1581,0.10317,0.09864,-0.0533,0.0436,1.0000
13.750,1.1375,0.11111,0.10669,-0.0576,0.0441,1.0000
14.000,0.8630,0.13633,0.13273,-0.0716,0.0543,1.0000
