Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ea81006-il-500000-n5
Airfoil,ea81006-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,53.4804
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-ea81006-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.7519,0.08512,0.08291,0.0013,1.0000,0.0052
-10.250,-0.7767,0.07580,0.07365,-0.0052,1.0000,0.0052
-10.000,-0.8033,0.06675,0.06461,-0.0140,1.0000,0.0051
-9.750,-0.8400,0.05718,0.05490,-0.0172,1.0000,0.0050
-9.500,-0.8854,0.04298,0.04015,-0.0180,1.0000,0.0048
-9.250,-0.9040,0.03325,0.02977,-0.0157,1.0000,0.0048
-9.000,-0.9007,0.02782,0.02376,-0.0137,1.0000,0.0050
-8.750,-0.8878,0.02474,0.02028,-0.0122,1.0000,0.0051
-8.500,-0.8709,0.02254,0.01774,-0.0110,1.0000,0.0052
-8.250,-0.8538,0.02035,0.01521,-0.0097,1.0000,0.0054
-8.000,-0.8358,0.01832,0.01283,-0.0083,1.0000,0.0058
-7.750,-0.8146,0.01713,0.01145,-0.0074,1.0000,0.0064
-7.500,-0.7923,0.01622,0.01039,-0.0065,1.0000,0.0069
-7.250,-0.7696,0.01541,0.00945,-0.0057,1.0000,0.0075
-7.000,-0.7466,0.01468,0.00858,-0.0049,1.0000,0.0081
-6.750,-0.7235,0.01405,0.00785,-0.0041,1.0000,0.0090
-6.500,-0.7003,0.01351,0.00721,-0.0033,1.0000,0.0097
-6.250,-0.6775,0.01280,0.00639,-0.0022,1.0000,0.0125
-6.000,-0.6547,0.01224,0.00576,-0.0013,1.0000,0.0158
-5.750,-0.6306,0.01200,0.00561,-0.0006,1.0000,0.0233
-5.500,-0.6057,0.01195,0.00554,0.0000,1.0000,0.0300
-5.250,-0.5802,0.01203,0.00557,0.0005,1.0000,0.0334
-5.000,-0.5551,0.01208,0.00560,0.0010,1.0000,0.0350
-4.750,-0.5304,0.01212,0.00559,0.0017,1.0000,0.0372
-4.500,-0.5061,0.01214,0.00557,0.0024,1.0000,0.0394
-4.250,-0.4821,0.01222,0.00563,0.0031,1.0000,0.0414
-4.000,-0.4594,0.01193,0.00530,0.0041,1.0000,0.0425
-3.750,-0.4372,0.01158,0.00492,0.0052,1.0000,0.0432
-3.500,-0.4059,0.01123,0.00455,0.0043,0.9977,0.0440
-3.250,-0.3666,0.01091,0.00419,0.0017,0.9915,0.0447
-3.000,-0.3300,0.01034,0.00363,-0.0004,0.9847,0.0460
-2.750,-0.2963,0.00992,0.00322,-0.0018,0.9775,0.0472
-2.500,-0.2604,0.00959,0.00290,-0.0036,0.9681,0.0482
-2.250,-0.2238,0.00930,0.00260,-0.0055,0.9508,0.0493
-2.000,-0.1889,0.00908,0.00232,-0.0068,0.9137,0.0504
-1.750,-0.1630,0.00899,0.00210,-0.0061,0.8645,0.0517
-1.500,-0.1404,0.00904,0.00189,-0.0047,0.7922,0.0529
-1.250,-0.1249,0.00993,0.00174,-0.0021,0.5080,0.0536
-1.000,-0.1045,0.01089,0.00172,-0.0012,0.2047,0.0544
-0.750,-0.0798,0.01124,0.00168,-0.0008,0.0688,0.0551
-0.500,-0.0533,0.01118,0.00161,-0.0005,0.0643,0.0563
-0.250,-0.0267,0.01114,0.00156,-0.0002,0.0618,0.0582
0.000,0.0000,0.01112,0.00154,0.0000,0.0601,0.0601
0.250,0.0267,0.01114,0.00156,0.0002,0.0582,0.0619
0.500,0.0532,0.01119,0.00161,0.0005,0.0563,0.0643
0.750,0.0797,0.01124,0.00168,0.0008,0.0551,0.0688
1.000,0.1045,0.01089,0.00172,0.0012,0.0544,0.2029
1.250,0.1249,0.00993,0.00175,0.0021,0.0536,0.5072
1.500,0.1404,0.00904,0.00189,0.0047,0.0528,0.7909
1.750,0.1629,0.00899,0.00210,0.0061,0.0517,0.8645
2.000,0.1889,0.00907,0.00232,0.0069,0.0504,0.9146
2.250,0.2237,0.00930,0.00260,0.0055,0.0493,0.9507
2.500,0.2604,0.00959,0.00290,0.0036,0.0482,0.9682
2.750,0.2963,0.00992,0.00322,0.0018,0.0471,0.9777
3.000,0.3299,0.01034,0.00363,0.0004,0.0460,0.9848
3.250,0.3666,0.01091,0.00419,-0.0017,0.0447,0.9915
3.500,0.4060,0.01123,0.00455,-0.0043,0.0440,0.9977
3.750,0.4371,0.01158,0.00493,-0.0052,0.0433,1.0000
4.000,0.4593,0.01193,0.00530,-0.0041,0.0425,1.0000
4.250,0.4820,0.01222,0.00562,-0.0031,0.0414,1.0000
