Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-eh2510-il-500000
Airfoil,eh2510-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,91.4217
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-eh2510-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.4934,0.10221,0.10005,0.0022,1.0000,0.0183
-9.500,-0.4933,0.09780,0.09567,-0.0003,1.0000,0.0192
-7.500,-0.5437,0.05549,0.05319,-0.0211,1.0000,0.0215
-7.250,-0.5355,0.05335,0.05101,-0.0205,1.0000,0.0221
-7.000,-0.5247,0.05127,0.04888,-0.0200,1.0000,0.0228
-6.750,-0.5129,0.04887,0.04641,-0.0195,1.0000,0.0239
-6.500,-0.5003,0.04543,0.04281,-0.0189,1.0000,0.0265
-6.250,-0.4804,0.04241,0.03938,-0.0172,1.0000,0.0286
-5.750,-0.4506,0.02345,0.01884,-0.0174,0.9230,0.0210
-5.500,-0.4309,0.02028,0.01510,-0.0159,0.8741,0.0212
-5.250,-0.4105,0.01844,0.01283,-0.0141,0.8374,0.0212
-5.000,-0.3888,0.01656,0.01058,-0.0127,0.8070,0.0214
-4.750,-0.3657,0.01506,0.00877,-0.0115,0.7804,0.0218
-4.500,-0.3417,0.01402,0.00752,-0.0106,0.7567,0.0224
-4.250,-0.3173,0.01327,0.00660,-0.0097,0.7355,0.0230
-4.000,-0.2922,0.01279,0.00601,-0.0091,0.7161,0.0242
-3.750,-0.2671,0.01233,0.00543,-0.0084,0.6984,0.0255
-3.500,-0.2423,0.01182,0.00477,-0.0076,0.6825,0.0266
-3.250,-0.2171,0.01141,0.00424,-0.0068,0.6675,0.0279
-3.000,-0.1922,0.01099,0.00370,-0.0061,0.6531,0.0294
-2.750,-0.1673,0.01055,0.00320,-0.0054,0.6395,0.0336
-2.500,-0.1416,0.01025,0.00285,-0.0048,0.6264,0.0429
-2.250,-0.1162,0.00994,0.00262,-0.0042,0.6139,0.0725
-2.000,-0.0899,0.00979,0.00246,-0.0039,0.6018,0.0917
-1.750,-0.0638,0.00961,0.00231,-0.0035,0.5905,0.1143
-1.500,-0.0380,0.00942,0.00217,-0.0031,0.5796,0.1494
-1.250,-0.0140,0.00896,0.00203,-0.0025,0.5691,0.2469
-1.000,-0.0083,0.00704,0.00183,0.0014,0.5608,0.7296
-0.750,0.0120,0.00680,0.00194,0.0037,0.5515,0.8467
-0.500,0.0375,0.00681,0.00197,0.0047,0.5414,0.8866
-0.250,0.0640,0.00688,0.00200,0.0055,0.5319,0.9122
0.000,0.0934,0.00700,0.00206,0.0056,0.5227,0.9314
0.250,0.1243,0.00711,0.00210,0.0053,0.5131,0.9441
0.500,0.1572,0.00726,0.00217,0.0046,0.5039,0.9558
0.750,0.2010,0.00749,0.00230,0.0015,0.4941,0.9639
1.000,0.2441,0.00767,0.00239,-0.0015,0.4842,0.9702
1.250,0.2954,0.00786,0.00250,-0.0063,0.4739,0.9752
1.500,0.3324,0.00800,0.00256,-0.0082,0.4652,0.9809
1.750,0.3666,0.00803,0.00254,-0.0097,0.4562,0.9833
2.000,0.4023,0.00808,0.00253,-0.0115,0.4476,0.9852
2.250,0.4368,0.00814,0.00253,-0.0130,0.4394,0.9876
2.500,0.4706,0.00818,0.00255,-0.0144,0.4310,0.9903
2.750,0.5033,0.00827,0.00258,-0.0156,0.4231,0.9932
3.000,0.5384,0.00829,0.00259,-0.0173,0.4143,0.9954
3.250,0.5737,0.00835,0.00262,-0.0191,0.4063,0.9978
3.500,0.6085,0.00840,0.00265,-0.0208,0.3980,1.0000
3.750,0.6315,0.00845,0.00270,-0.0199,0.3906,1.0000
4.000,0.6543,0.00853,0.00276,-0.0191,0.3835,1.0000
4.250,0.6773,0.00860,0.00285,-0.0183,0.3766,1.0000
4.500,0.7000,0.00870,0.00294,-0.0174,0.3693,1.0000
4.750,0.7228,0.00879,0.00305,-0.0165,0.3620,1.0000
5.000,0.7454,0.00892,0.00316,-0.0156,0.3546,1.0000
5.250,0.7684,0.00904,0.00332,-0.0147,0.3478,1.0000
5.500,0.7910,0.00919,0.00346,-0.0138,0.3406,1.0000
5.750,0.8141,0.00931,0.00362,-0.0130,0.3328,1.0000
6.000,0.8366,0.00950,0.00380,-0.0121,0.3253,1.0000
6.250,0.8600,0.00963,0.00400,-0.0113,0.3179,1.0000
6.500,0.8828,0.00982,0.00419,-0.0104,0.3085,1.0000
6.750,0.9058,0.00999,0.00435,-0.0096,0.2940,1.0000
7.000,0.9288,0.01019,0.00455,-0.0088,0.2796,1.0000
7.250,0.9517,0.01041,0.00477,-0.0081,0.2646,1.0000
7.500,0.9745,0.01068,0.00504,-0.0073,0.2490,1.0000
7.750,0.9965,0.01102,0.00533,-0.0064,0.2290,1.0000
8.000,1.0178,0.01147,0.00569,-0.0055,0.2025,1.0000
8.250,1.0369,0.01215,0.00619,-0.0044,0.1640,1.0000
8.500,1.0484,0.01360,0.00718,-0.0025,0.0922,1.0000
8.750,1.0540,0.01560,0.00874,0.0002,0.0255,1.0000
9.000,1.0697,0.01659,0.00976,0.0019,0.0180,1.0000
9.250,1.0848,0.01758,0.01083,0.0035,0.0146,1.0000
9.500,1.0982,0.01867,0.01205,0.0054,0.0128,1.0000
9.750,1.1123,0.01961,0.01309,0.0070,0.0118,1.0000
10.000,1.1248,0.02060,0.01415,0.0088,0.0107,1.0000
10.250,1.1303,0.02197,0.01562,0.0112,0.0099,1.0000
10.500,1.1251,0.02367,0.01744,0.0150,0.0092,1.0000
10.750,1.1254,0.02495,0.01882,0.0178,0.0091,1.0000
11.000,1.1256,0.02656,0.02055,0.0197,0.0088,1.0000
11.250,1.1261,0.02853,0.02263,0.0206,0.0087,1.0000
11.500,1.1254,0.03093,0.02514,0.0210,0.0085,1.0000
11.750,1.1260,0.03341,0.02772,0.0210,0.0082,1.0000
