Alpha,Cl,Cd,Cm
-30.0,-1.0705069761199801,0.37111328026223644,0.15287409533739849
-29.0,-1.0428448906047225,0.3612598880800611,0.14244214408959438
-26.0,-0.9491018250264746,0.3278929070773951,0.11145104667907513
-23.0,-0.8484290556513243,0.29230175870350317,0.08212382041171284
-22.0,-0.8144524506562332,0.28031051280901403,0.07344307568557693
-20.0,-0.7448265541735408,0.25496724962936795,0.054986813076048024
-19.0,-0.7100704936318438,0.24225887465633467,0.04745710413253634
-17.0,-0.6437935536741687,0.21582093706150032,0.03039349210788411
-16.0,-0.6103928194309644,0.20256603677130827,0.024349349019499776
-13.0,-0.5272894945587964,0.16128301394261044,0.004703831868182718
-11.0,-0.48897183293417384,0.13256839816017238,-0.00731996345415971
-10.0,-0.47855050488704526,0.1184507417279197,-0.015325788049975263
-9.0,-0.46935284589603155,0.1026903399706631,-0.021479883394294352
-8.0,-0.46031722662189484,0.08907004623436643,-0.02619931328110246
-7.0,-0.4736748414466033,0.07081682167539784,-0.03969150631125065
-6.0,-0.46536799641236076,0.03850949202624348,-0.04152017451968711
-5.0,-0.4068705730982605,0.026715720888126473,-0.03544069379832954
-4.0,-0.29087144373390067,0.020515772496722078,-0.0367222290727512
-3.0,-0.14901185355438146,0.01650830390150747,-0.043270993812645146
-2.0,-0.0022341007799828822,0.01433564766183766,-0.05084378602785079
-1.0,0.16922146564133655,0.011246293974351758,-0.06354411940726178
0.0,0.2967057593426745,0.010886788563399443,-0.06603038960488887
1.0,0.4057736972026275,0.010632759331300305,-0.06376634548011842
2.0,0.5094402034284378,0.010844580105900607,-0.060750965476252736
3.0,0.6126105487369308,0.011454578088406116,-0.058243103279933726
4.0,0.7082513244286311,0.01268039585806328,-0.05445886811983247
5.0,0.7959566328234104,0.015109040519111178,-0.05062720413437605
6.0,0.8810482879762214,0.018337828165935044,-0.04705662722590328
7.0,0.9671919845947428,0.021446266909144158,-0.04301397415179316
8.0,1.0426370888046428,0.025184536836398735,-0.03751220932433255
9.0,1.0967831764940876,0.030520389421350866,-0.02942976729811298
10.0,1.1592772779704172,0.03718049553275167,-0.02309047781446191
11.0,1.2067508610738455,0.04533257547329822,-0.01571606756006613
12.0,1.1967792119203775,0.05537918177133045,-0.00466831898584849
13.0,1.152807066960121,0.07049234867065708,-0.0006181095938088685
14.0,1.0891110744056216,0.09248003140810679,-0.00786809343269114
15.0,0.9996459668753366,0.12870793880407858,-0.032443577392490305
16.0,0.6898126530919306,0.15213583973830028,-0.031017267831095114
17.0,0.665327609189842,0.17474228201753106,-0.04004491384635129
18.0,0.6607281347730388,0.19288447704511077,-0.046781847404420235
19.0,0.6827994683578693,0.20587265174231206,-0.04922338751962108
20.0,0.6785395237074989,0.2186302518412734,-0.056692998450829105
21.0,0.695001036918798,0.23051384530324098,-0.060482173352456016
22.0,0.6987858848526455,0.24373295271453602,-0.06710811758298435
24.0,0.7212681544473253,0.26964946608558144,-0.07704046865095845
26.0,0.7423814686390946,0.29650784777776906,-0.08700501513421319
27.0,0.7517802696549495,0.31045977859809204,-0.09208995100880785
28.0,0.7621581106728123,0.32373255881379365,-0.09654586730267259
29.0,0.7692009101944035,0.3385056740357857,-0.10216730023226167
