r/R,twist (deg)
0.0,13.0
0.05,15.5
0.0761062,17.6022
0.099115,18.7175
0.123894,19.2751
0.146903,19.684
0.168142,19.7955
0.19646,19.7955
0.217699,19.4981
0.240708,19.052
0.265487,18.6059
0.288496,18.1599
0.311504,17.5651
0.338053,16.9331
0.359292,16.4498
0.382301,15.9665
0.40885,15.4461
0.430088,15.0372
0.453097,14.5539
0.476106,14.0335
0.500885,13.5502
0.523894,13.0669
0.550442,12.5836
0.571681,12.1747
0.59469,11.6914
0.621239,11.2454
0.644248,10.6877
0.665487,10.2045
0.692035,9.72119
0.715044,9.23792
0.736283,8.829
0.762832,8.42007
0.785841,8.01115
0.80708,7.60223
0.833628,7.26766
0.856637,7.08178
0.877876,6.82156
0.904425,6.63569
0.927434,6.48699
0.948673,6.41264
0.975221,6.22677
1.0,5.40892
